source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
"Career He studied with the English-born composer Henry Hugo Pierson in Stuttgart, and with William Sterndale Bennett and the pianist Edward Dannreuther in London.",Er studierte bei Henry Hugo Pierson sowie bei William Sterndale Bennett und Edward Dannreuther.,他与斯图加特的英国作曲家亨利·雨果·皮尔森以及伦敦的威廉·斯特恩代尔·本尼特和钢琴家爱德华·丹恩鲁瑟一起学习。,"He studied with Henry Hugo Pearson, a British composer in Stuttgart, and William Sterndale Bennett in London, and Edward Dane Ruther, a pianist.","He studied with Henry Hugo Pierson, William Sterndale Bennett and Edward Dannreuther."
"History The district was created on June 12, 1994 by merging the previous districts Röbel and Waren, and a few municipalities from the districts Malchin and Neustrelitz.",Geschichte Das Gebiet entstand am 12. Juni 1994. Sie zusammengestellt alte Bezirke Röbel und Waren mit ein paar Gebieten von Malchin und Neustrelitz.,"1994年12月6日,通过将Röbel和Waren以及来自Malchin和Neutrestelitz地区的几个城镇混为一谈,该地区于1994年12月6日建成。","On 6 December 1994, the Röbel and Warren and several towns from the Malchin and Neutrestelitz regions were completed on 6 December 1994.","History The area was created on June 12, 1994. It compiled old districts of Röbel and Waren with a few areas of Malchin and Neustrelitz."
"It was erected to commemorate Constantine I's victory over Maxentius at the Battle of Milvian Bridge on October 28, 312.","Es erinnert an Konstantin I., der Maxentius in der Schlacht bei der Milvianischen Brücke am 28. Oktober 312 besiegte.",纪念君士坦丁 我击败马森修斯 在10月28日 312号密尔维昂桥战役上,"In memory of Constantine, I defeated Marsenius on October 28th, at the Battle of the Mirvian Bridge on October 28th.","It is reminiscent of Constantine I, who defeated Maxentius at the Battle of the Milvian Bridge on October 28, 312."
"The video was premiered on MTV2 on July 14, 2006.",Das Video wurde erstmals auf MTV2 gezeigt. Dies war am 14. Juli 2006.,MTV2在2006年放映了这段录像。,The video was shown by MTV2 in 2006.,"The video was shown for the first time on MTV2. This was on July 14, 2006."
"James Howard ""Jim"" Thome (; born August 27, 1970 in) is a Major League Baseball designated hitter for the Chicago White Sox.","James Howard ""Jim"" Thome wurde am 27. August 1970 geboren. Er ist ein Major League Baseball für die Chicago White Sox benannt.","James Howard""Jim""Thome是芝加哥白袜队的主要棒球联盟球手 他生于1970年8月27日","James Howard ""Jim"" Thom was the leading baseball league player in the Chicago White Socks, born on August 27, 1970.","James Howard ""Jim"" Thome was born on August 27, 1970. He is a Major League baseball named for the Chicago White Sox."
His work is often cited as the basis and motive for contemporary patriots and national activists.,Seine Arbeit wird oft als Grundlage und Motivation zeitgenössischer Patrioten und nationaler Aktivisten genannt.,他的工作往往是当前爱国者和全国活动分子的基础和动机。,His work is often based on and motivated by current patriots and national activists.,His work is often referred to as the basis and motivation of contemporary patriots and national activists.
"Surnames Aaron Schock, member of the U. S. House of Representatives representing the 18th district of Illinois.",Aaron Schock vertrat den 18. Bezirk von Illinois im US-Repräsentantenhaus.,"Aaron Schock是美国众议院议员,代表伊利诺伊州第18区。",Aaron Schock is a member of the United States House of Representatives and represents the 18th District of Illinois.,Aaron Schock represented the 18th district of Illinois in the U.S. House of Representatives.
The current president is Tarja Halonen (SDP).,Der Präsident ist T. Halonen,现任总统是塔里娅·哈洛宁(SDP)。,The current President is Tarja Halonen (SDP).,The President is T. Halonen.
The Census Bureau's legal authority is codified in Title 13 of the United States Code.,Die Macht des Census Bureau ist in Titel 13 des United States Code beschrieben.,人口普查局的法律权力在美国法典第13章中。,The legal powers of the Census Bureau are contained in Chapter 13 of the United States Code.,The power of the Census Bureau is described in Title 13 of the United States Code.
Some beverage products such as ales and stouts e. g. Guinness rely on this effect to produce the 'head' on the surface of the poured product.,"Einige Getränke verlassen sich auf diesen Effekt, um den ""Kopf"" auf der Oberfläche des gegossenen Produkts zu produzieren. Beispiele dafür sind Ales und Stouts.","有些饮料,比如啤酒和口服饮料,在倒灌饮料表面的“头”依赖这种效应。","Some beverages, such as beer and oral beverages, rely on this effect for “heads” on the face of poured drinks.","Some drinks rely on this effect to produce the ""head"" on the surface of the cast product. Examples of this are Ales and Stouts."
"Originally she was viewed as the protector goddess of Lower Egypt, and consequently depicted as a fierce lioness.",Sie wurde als die Schutzgöttin von Unterägypten gesehen. Dadurch wurde sie als grimmige Löwin dargestellt.,"她最初是下埃及的保护神女神,后来被显示为凶猛的母狮。",She was initially the guardian goddess of Lower Egypt and was later shown to be a ferocious female lion.,"She was seen as the guardian goddess of Lower Egypt, which represented her as a grim lioness."
Mechanical properties of nanosystems are of interest in the nanomechanics research.,Mechanische Qualitäten von Nanosystemen sind in der Nanomechanikforschung wichtig.,纳米系统的机械特性对于纳米机械研究十分重要。,The mechanical characteristics of nanosystems are important for nanomechanical research.,Mechanical qualities of nanosystems are important in nanomechanics research.
"In 2006, Phil Downing left the band, citing communication problems with other members.",2006 verließ Phil Downing die Band.,"2006年,菲尔·唐宁离开乐队 因为他不能和其他成员相处","In 2006, Phil Downing left the band because he couldn't get along with the rest of them.","In 2006, Phil Downing left the band."
Variant spellings in English include felafel and filafil.,Felafel und Filafil sind modifizierte englische Schreibweisen.,不同的英文拼法包括Felafel和filafil。,Different spellings in English include Felafel and filafil.,Felafel and Filafil are modified English spellings.
"In private, Hindenburg often complained that he missed the quiet of his retirement and bemoaned that he had allowed himself to be pressured into running for President.","Hindenburg beklagte sich oft, dass er die Ruhe seiner Pensionierung verpasst habe. Er war auch mürrisch, weil er gezwungen wurde, für den Präsidenten zu kandidieren.","Hindenburg私下中经常抱怨他错过了退休的静悄悄,他感到很不安,因为迫于压力,被迫竞选总统。",He was disturbed by the fact that Hindenburg had complained privately that he had missed his retirement silence because he had been forced to run for the presidency under pressure.,Hindenburg often complained that he had missed the rest of his retirement. He was also grumpy because he was forced to run for the president.
The Giant Hispaniolan Galliwasp (Celestus warreni) is a species of lizard in the Anguidae family.,Der Riesenhispaniolan Galliwasp (Celestus warreni) ist eine Eidechsenart aus der Familie der Echsen (Anguidae).,巨人伊斯帕尼奥兰·加利瓦斯普是蜥蜴的物种,The giant Ispaniolallan Galavisp is a lizard species.,The giant Hispaniolan Galliwasp (Celestus warreni) is a species of lizard in the Anguidae family.
There he played on his only album with the band One Hot Minute in 1995.,Dort spielte er 1995 mit der One Hot Minute auf seinem Album.,"在那里,他和《热分钟》一起演奏 他唯一的专辑。",There he plays with Hot Minutes his only album.,He played with the One Hot Minute on his album in 1995.
Only traits that help us survive and reproduce are transmitted.,"Es werden nur Eigenschaften weitergegeben, die uns helfen, zu leben und zu züchten.",只有能帮助我们生存和繁殖的性格 才会被传承,Only the qualities that will help us survive and reproduce will be passed on.,Only qualities are passed on that help us to live and grow.
The administration of the port is carried out by the Karachi Port Trust which was established in the nineteenth century.,"Der Hafen wird vom Karachi Port Trust gepflegt, der im neunzehnten Jahrhundert begann.","卡拉奇港口信托公司经营港口,是1800年代建造的。","The Karachi Port Trust operates the port, which was built in the 1800s.","The port is maintained by the Karachi Port Trust, which began in the nineteenth century."
"A large proportion of block ciphers use the scheme, including the Data Encryption Standard (DES).","Viele Block-Chiffren verwenden das Schema, einschließlich des Data Encryption Standard (DES).",很大比例的区块密码使用此方案。 例如数据加密标准 。,"A large proportion of block passwords use this scheme. For example, data encryption standards.","Many block ciphers use the schema, including the Data Encryption Standard (DES)."
"Gothic architecture is most familiar as the architecture of many of the great cathedrals, abbeys and parish churches of Europe.","Viele der großen Kathedralen, Abteien und Kirchen Europas neigen dazu, gotische Architektur in sich zu haben.",欧洲许多大教堂、修道院和教区教堂都有著名的哥特建筑。,"Many cathedrals, monasteries and parish churches in Europe have well-known Gothic buildings.","Many of Europe's great cathedrals, abbeys and churches tend to have Gothic architecture in them."
"A Storm of Swords is the third of seven planned novels in A Song of Ice and Fire, an epic fantasy series by American author George R. R. Martin.",A Storm of Swords ist der dritte von sieben Romanen von George R. R. Martin.,""" 剑之风暴""是美国作家George R. R. R. Martin 的英雄幻想系列《冰火之歌》系列7集第3集。","Storm of the Sword is the third in the series of the American writer George R.R.R. Martin's Heroic Fantasy Series, The Ice Fire Songs.",A Storm of Swords is the third of seven novels by George R. R. Martin.
They can be distinguished from butterflies in several ways.,Sie unterscheiden sich auf verschiedene Weise von Schmetterlingen.,"在许多方面,它们可以与蝴蝶区别开来。","In many ways, they can be distinguished from butterflies.",They differ in different ways from butterflies.
"Some academic journals do refer to Wikipedia articles, but are not elevating it to the same level as traditional references.",Einige wissenschaftliche Zeitschriften beziehen sich auf Wikipedia-Artikel. Sie heben es nicht auf die Ebene der traditionellen Referenzen.,"有些学术著作确实提到维基百科的文章,",There are some academic writings that do refer to Wikipedia articles.,Some scientific journals refer to Wikipedia articles. They do not raise it to the level of traditional references.
It took three months and 250 soldiers to roll the gun barrels all the way from North Sydney to the batteries.,"Es dauerte drei Monate, um die Waffenfässer von North Sydney auf die Batterien zu rollen.",用三个月和250名士兵把枪桶从北悉尼运到电池上。,The barrel was transported from North Sydney to the battery with three months and 250 soldiers.,It took three months to roll the North Sydney barrels onto the batteries.
"At Saturday Night's Main Event, Batista won a six man tag match with Rey Mysterio and Bobby Lashley taking on King Booker, Finlay, and Mark Henry.","Beim Main Event am Samstagabend gewann Batista ein Sechs-Mann-Tag-Match mit Rey Mysterio und Bobby Lashley. Sie nahmen an King Booker, Finlay und Mark Henry teil.",巴蒂斯塔在星期六晚上的主要活动上 赢得了一场六人牌比赛 雷伊·密斯特里奥和鲍比·拉什利 与布克国王、芬莱和马克·亨利,"Batista won a six-man game at the main event on Saturday night with Rai Mistrio and Bobby Rashley and King Booker, Finley and Mark Henry.","At the Main Event on Saturday night Batista won a six-man day match with Rey Mysterio and Bobby Lashley. They participated in King Booker, Finlay and Mark Henry."
This volcano is well known for its ash explosions and pyroclastic flows.,Dieser Vulkan ist in der Regel für seine Ascheexplosionen und pyroklastischen Ströme bekannt.,火山以火山灰爆炸和火化流闻名。,Volcano is known for its ash explosion and cremation.,This volcano is usually known for its ash explosions and pyroclastic currents.
Shatner also played the title veteran police sergeant in T. J. Hooker from 1982 to 1986.,Von 1982 bis 1986 spielte Shatner den Veteranen-Polizei-Sergeant.,"Shatner还担任T. J. Hooker的高级警官,1982年至1986年。","Shatner also served as a senior police officer for T. J. Hooker, 1982-1986.",From 1982 to 1986 Shatner played the veteran police sergeant.
"By early the next day, the remnants of Gabrielle were absorbed by an approaching cold front.","Am nächsten Morgen hatte eine kalte Front das aufgesaugt, was von Gabrielle übriggeblieben war.",一天之后 Gabrielle的其余部分 消失在寒冷的前线,"One day later, the rest of Gabrielle disappeared on the cold front.",The next morning a cold front soaked up what was left of Gabrielle.
Economy The only economic activity of importance is agriculture.,Wirtschaft Die einzige wichtige Wirtschaftstätigkeit ist die Landwirtschaft.,唯一重要的经济活动是农业。,The only important economic activity is agriculture.,Economy The only important economic activity is agriculture.
"2003 – 2005 In 2003, he played a villainous role in the third installment of the Spy Kids trilogy Spy Kids 3 - D: Game Over which was a huge box office success (almost $200 million worldwide).",Er spielte einen bösen Kerl in der Spy Kids 3-D: Game Over. Der Film war ein großer Kassenerfolg.,"2003年,他扮演了一个坏人的角色 在间谍儿童三部间谍小说中 第3部中,它收集了全世界2亿美元。","In 2003, he played a bad role in the third of the spy children's spy novels, which collected $200 million worldwide.",He played an evil guy in the Spy Kids 3-D: Game Over. The movie was a huge cashier success.
"Following the death of Schidlof from a heart attack in 1987, the Amadeus Quartet disbanded.","Nachdem Schidlof an einem Herzinfarkt gestorben war, löste sich das Amadeus Quartett auf.",希德洛夫死于心脏病后 阿玛迪斯四方解散了,"After Sidrov died of a heart attack, Amadis was disbanded.","After Schidlof died of a heart attack, the Amadeus Quartet dissolved."
Live at Wembley '86 is a double compact disc live album by English rock band Queen.,Live at Wembley 86 ist ein Doppel-Kompakt-Livealbum der englischen Rockband Queen.,《86年温布利生活》是摇滚乐队女王的现场专辑,"""Living in Wembley in '86"" is the live album of the Queen of the Rock Band.",Live at Wembley 86 is a double-compact live album by English rock band Queen.
It is the fourth and final novel in his Hyperion Cantos fictional universe.,Es ist der letzte Roman in seinem Hyperion Cantos Universum.,这是他超凡坎托斯系列的最后一本书,This is his last book in the Van Cantos series.,It's the last novel in his Hyperion Canto's universe.
This was the first use of Franklin to name a tropical storm following the retirement of Hurricane Floyd of the 1999 season.,Nach dem Rückzug von Hurricane Floyd in der Saison 1999 wurde Franklin zum ersten Mal als tropischer Sturm bezeichnet.,这是1999年飓风弗洛伊德结束后第一次命名热带风暴。,This was the first tropical storm to be named after Hurricane Freud in 1999.,"After the withdrawal of Hurricane Floyd in the 1999 season, Franklin was first described as a tropical storm."
The first mayor of Gaborone was Reverend Derek Jones.,Reverend Derek Jones war der erste Bürgermeister von Gaborone.,Derek Jones牧师是哈博罗内第一任市长。,Reverend Derek Jones was the first mayor of Gaborone.,Reverend Derek Jones was the first mayor of Gaborone.
Tehsils & Unions in the District of Mardan - Government of Pakistan It is located at 34 ° 26 '0N 72 ° 3' 0E and has an altitude of 406 metres (1335 feet).,"Die Regierung des Distrikts Mardan, Pakistan, liegt bei 34 ° 26 '0N 72 ° 3' 0E und hat eine Höhe von 406 Metern (1335 Fuß).",Mardan区Tehsils和工会在巴基斯坦。,"Tehsils, Mardan District, and the trade union are in Pakistan.","The Mardan district government, Pakistan, is located at 34 ° 26 '0N 72 ° 3' 0E and has a height of 406 meters (1335 feet)."
Much of the province lies in the plain of the Arno river and has thus become an exurban sprawl around the city of Florence.,"Ein Großteil der Provinz liegt in der Ebene des Flusses Arno. Dies hat dazu geführt, dass es zu einem äußeren Gebiet, wo reichere Familien neigen, um die Stadt Florenz leben.","该区域大部分位于阿诺河平原,因此成为佛罗伦萨市周围的农村地区。","Most of the region is located in the plains of the Ano River, making it a rural area around the city of Florence.",A large part of the province is located in the plain of the river Arno. This has led it to an outer area where richer families tend to live around the city of Florence.
There are currently over six hundred Linux distributions.,Derzeit gibt es mehr als 600 Linux-Distributionen.,有超过600个Linux分布。,There are over 600 Linux distributions.,Currently there are more than 600 Linux distributions.
"Bisexual pornography differs from threesome pornography, which typically depicts one man and two women.",Bisexuelle Pornographie ist nicht dasselbe wie Dreierpornographie.,"双性色情与三种色情不同,通常显示一男二女。",Bisexual pornography is different from the three types of pornography and usually displays one man and two women.,Bisexual pornography is not the same as triple pornography.
"The storm weakened over land on August 26 to a tropical storm, but regained strength to hurricane status at 2: 00 a. m. EDT (0600 UTC), approximately one hour after ending its passage through Florida and entering the Gulf of Mexico.",Der Sturm schwächte sich über Land ab und wurde am 26. August zu einem tropischen Sturm. Er wurde stärker und verwandelte sich um 2: 00 Uhr morgens in einen Hurrikan. Das war etwa eine Stunde nach der Abreise von Florida und dem Einzug in den Golf von Mexiko.,"8月26日,暴风雨失去力量,成为热带风暴,于凌晨2点再次成为飓风,在从佛罗里达到墨西哥湾的一个小时后发生。","On 26 August, the storm lost its strength as a tropical storm, re-emerged as a hurricane at 2 a.m. and occurred an hour later, from Florida to the Gulf of Mexico.","The storm weakened over land and became a tropical storm on August 26. It became stronger and turned into a hurricane at 2: 00 a.m., which was about an hour after the departure of Florida and the entry into the Gulf of Mexico."
He was an exceptionally active campaigner and critic in the crisis years in Italy after the First World War and into the early years of Fascist rule.,Er war ein aktiver Kämpfer und Kritiker in den Krisenjahren. Nach dem Ersten Weltkrieg war er in Italien Stimme. Sowie in den frühen Jahren der faschistischen Herrschaft.,"在第一次世界大战后意大利危机年代和法西斯统治初期,他是一名非常活跃的竞选者。","During the years of the Italian crisis following the First World War and the early days of fascist rule, he was a very active candidate.",He was an active fighter and critic in the years of crisis. After the First World War he was a voice in Italy. As well as in the early years of fascist rule.
Berlin and Paris developed thriving émigré communities.,Berlin und Paris wuchsen florierende emigrierte Gemeinden.,"柏林和巴黎发展了繁荣昌盛的社区,人民出于政治原因离开自己的国家。",Berlin and Paris have developed prosperous communities and people have left their country for political reasons.,Berlin and Paris grew flourishing immigrant communities.
If you do not accept that the early closure was a good thing please ask the editor who closed it to reverse their actions.,"Wenn Sie den frühen Abschluss nicht akzeptieren, fragen Sie den Editor oben öffnen.","如果您不喜欢提前关闭, 请问编辑谁关闭了它。 这将扭转他们的动作 。","If you don't like to close it early, ask the editor who closed it. This will reverse their movements.","If you do not accept the early completion, ask the editor above to open."
"After reviewing the documents, some historians suggest that Adams does not deserve equal credit with Le Verrier.","Seit der Überarbeitung der Dokumente legen einige Historiker nahe, dass Adams nicht das gleiche Verdienst verdient wie Le Verrier.","根据阅读文件,历史学家认为亚当斯不值得与勒韦里尔一样受到同等的赞扬。","According to the reading of the document, historians do not believe that Adams deserves the same praise as Leveril.","Since the revision of the documents, some historians suggest that Adams does not deserve the same credit as Le Verrier."
"In 326 BCE, most of the dozen-odd political units of the former Gandhara / Kamboja Mahajanapadas were conquered by the Macedonian conqueror.",Im Jahr 326 v. Chr. wurden die Mehrheit der Dutzend oder so politischen Einheiten der ehemaligen Gandhara / Kamboja Mahajanapadas vom mazedonischen Eroberer besiegt.,马其顿征服者接管了前甘达拉/坎博亚马哈贾那帕达斯在326 BCE的大部分政治单位。,The Macedonian conquerors took over most of the political units in 326 BCE in the former Gandara/Kamboya Mahagandas.,"In 326 B.C., the majority of the dozen or so political units of the former Gandhara / Kamboja Mahayanapadas were defeated by the Macedonian conqueror."
"Special subscription plans are offered to schools, colleges and libraries; such institutional subscribers constitute an important part of Britannica's business.","Spezielle Abonnement-Pläne werden Schulen, Hochschulen und Bibliotheken angeboten. Diese institutionellen Abonnenten bilden einen wichtigen Teil des Geschäfts von Britannica.","向学校、学院和图书馆提供特别订阅计划,这种订阅是英国商业的重要组成部分。","Special subscription schemes are offered to schools, colleges and libraries, which are an important part of British business.","Special subscription plans are offered to schools, universities and libraries, and these institutional subscribers form an important part of Britannica's business."
"The endpoints where a continental divide meets the coast are not always definite, because the exact border between adjacent bodies of water is usually not clearly defined.","Die Endpunkte, an denen eine kontinentale Kluft auf die Küste trifft, sind nicht immer klar, da die Grenze zwischen den angrenzenden Gewässern nicht klar definiert ist.","大陆分界线与海岸接壤的终点并不总是确定的,这是因为水体相邻的边界通常不为人所知。",The end of the continental boundary with the coast is not always determined because the boundary adjacent to the water column is often unknown.,"The end points at which a continental divide meets the coast are not always clear, as the border between the adjacent waters is not clearly defined."
"It has a stopper at the top and stopcock (tap), at the bottom.",Er hat oben einen Stopper und unten einen Stopper.,顶部有吸管 底部有水龙头,There's a straw at the top. There's a tap at the bottom.,He's got a stopper upstairs and a stopper downstairs.
"Penshurst Place in Kent, England has a little altered 14th century example.","Penshurst Place in Kent, England hat ein kleines modifiziertes Beispiel aus dem 14. Jahrhundert.",Penshurst Place在英国肯特 14世纪的范例稍有改变,"The example of Penshurst Place in Kent, England, changed slightly in the 14th century.","Penshurst Place in Kent, England has a small modified example from the 14th century."
"In conceptual summary, a digital signal is a quantized discrete-time signal; a discrete-time signal is a sampled analog signal.",In abstrakter Zusammenfassung ist ein digitales Signal ein quantifiziertes diskretes Zeitsignal; ein diskretes Zeitsignal ist ein abgetastetes analoges Signal.,"抽象概括地说,数字信号是量化的离散时间信号;离散时间信号是抽样的模拟信号。","In the abstract, the digital signal is a quantitative discrete time signal; the discrete time signal is a sample analogue signal.","In abstract summary, a digital signal is a quantified discrete time signal; a discrete time signal is a scanned analog signal."
Jules captured footage of American Airlines Flight 11 hitting the North tower of the World Trade Center.,"Jules hat Aufnahmen von Flug 11 aufgenommen, die das World Trade Center trafen.",朱尔斯捕捉了11号航班袭击世贸中心 的录像,Jules caught a video of flight 11 attacking the World Trade Center.,Jules recorded footage of Flight 11 that hit the World Trade Center.
"On October 14, United States reconnaissance observed missile bases being built in Cuba.","Am 14. Oktober beobachteten die Vereinigten Staaten Raketenbasen, die in Kuba gebaut wurden.","10月14日,美国侦察队看到在古巴正在建造导弹基地。","On 14 October, the United States reconnaissance team observed the construction of a missile base in Cuba.","On October 14, the United States observed missile bases built in Cuba."
"In 1187, Saladin defeated the armies of the Crusades at the Battle of Hattin, largely because he was able to cut the Crusaders off from the valuable fresh water of the Sea of Galilee.","1187 schlug Saladin die Kreuzritter in der Schlacht von Hattin, indem er sie aus Süßwasser schnitt.","1187年,萨拉丁在哈廷战役中击败了十字军,从加利利海宝贵的淡水中切断了十字军。","In 1187, Saladdin defeated the Crusades in the Battle of Khatin and cut off the Crusades from the precious fresh water in the Galilee Sea.","In 1187, Saladin defeated the Crusaders in the Battle of Hattin, cutting them from fresh water."
Nearctic (1954 1973) was an Canadian-bred Hall of Fame Thoroughbred racehorse.,Nearktic war eine Hall of Fame Rennpferd in Kanada gezüchtet.,"近地点(1954年(1973年))是一座名人胡龙赛马厅,在加拿大出生。","The perigee (1954 (1973)) is a famous Hulong Sai Mall, born in Canada.",Nearktic was a Hall of Fame race horse bred in Canada.
"Due to the lack of major effects from Hurricane Cindy, the name was not retired by the World Meteorological Organization and will be on the list of names for the 2011 season.",Das Fehlen der wichtigsten Auswirkungen von Hurrikan Cindy wird den Namen auf der Liste der Namen für die Saison 2011 nach der World Meteorological Organization sein.,因为Cindy飓风没有产生很大影响 其名称可以在2011年季节再次使用,"Because Hurricane Cindy didn't have much to do with it, it could be used again in the 2011 season.",The absence of the main impact of Hurricane Cindy will be the name on the list of names for the 2011 season according to the World Meteorological Organization.
"Climate Tibooburra has an arid, desert climate with temperatures soaring above 40 ° Celsius (104 ° F) in summer, often reaching as high as 47 ° C (117 ° F).",Tibooburra hat ein trockenes Wüstenklima mit hohen Temperaturen im Sommer.,"Tibooburra有一个干燥的沙漠气候,夏季温度超过104°F,往往达到117°F。",Tibooburgra has a dry desert climate with temperatures exceeding 104° F in summer and often reaching 117° F.,Tibooburra has a dry desert climate with high temperatures in summer.
"Thirdly, for some color blind people, color can only be distinguished if there is a sufficient ""mass"" of color: thin lines might appear black while a thicker line of the same color can be perceived as having color.","Drittens, für einige Farbe blinde Menschen, Farbe kann nur getrennt gesagt werden, wenn es eine ausreichende ""Masse"" der Farbe. Dünne Linien könnten schwarz aussehen. Inzwischen, dickere Linie der gleichen Farbe kann als mit Farbe gesehen werden.",有些色盲人只有在有足够的颜色区域时才能看到色调。 薄线可能看起来是黑色的 。,Some color blind people can only see the tone if there are enough color areas. The thin line may look black.,"Third, for some color blind people, color can only be said separately if there is a sufficient ""mass"" of color. Thin lines could look black. Meanwhile, thicker line of the same color can be seen as with color."
Oliver Rolf Kahn (born 15 June 1969 in Karlsruhe) is a former German football goalkeeper.,Oliver Rolf Kahn wurde in Karlsruhe geboren. Er war früher deutscher Fußballtorhüter.,1969年6月15日出生,Born 15 June 1969,Oliver Rolf Kahn was born in Karlsruhe. He used to be a German football goalkeeper.
"Other generalizations of the main conjecture proved using the Euler system method have been obtained by Karl Rubin, amongst others.","Die Euler-Systemmethode wurde von Karl Rubin und anderen verwendet, um mehr Verallgemeinerungen zu beweisen.",Karl Rubin等人也证明了使用Euler系统方法的其他证据。,Karl Rubin et al. also provided additional evidence of the use of the Euler system method.,The Euler system method was used by Karl Rubin and others to prove more generalizations.
"Of Jewish heritage, he changed his surname to his paternal grandmother's maiden name, Waley, in 1914.","Er war jüdischer Herkunft. 1914 änderte er seinen Nachnamen in den Mädchennamen seiner Großmutter väterlicherseits, Waley.",Waley先生1914年将他的名字改成了犹太祖母的名字。,Mr. Waley changed his name to the name of the Jewish grandmother in 1914.,"He was of Jewish origin. In 1914 he changed his last name to the maiden name of his paternal grandmother, Waley."
A video game publisher is a company that publishes video games that they have either developed internally or have had developed by a video game developer.,Ein Videospiel-Verlag veröffentlicht eigene Videospiele oder Spiele von anderen Videospiel-Entwicklern.,电子游戏出版商制作游戏和/或雇用独立开发商制作游戏。,Video game publishers make games and/or hire independent developers to make games.,A video game publisher publishes its own video games or games from other video game developers.
Lenzburg transformed into the economic centre of the region in the 19th century.,Im 19. Jahrhundert wurde Lenzburg zum wirtschaftlichen Zentrum der Region.,"19世纪,伦茨堡是该区域的主要经济地区。","In the nineteenth century, Lentsberg was the main economic region in the region.",In the 19th century Lenzburg became the economic centre of the region.
Food is an important reason why El Puerto de Santa Maria attracts hundreds of tourists.,"Essen ist ein Grund, warum El Puerto de Santa Maria viele Besucher bekommt.",食物是圣玛利亚港有数百名访客的一个重要原因。,Food is an important reason for hundreds of visitors in the port of Santa Maria.,Food is one reason why El Puerto de Santa Maria has many visitors.
"Topics such as sanctity of marriage, adultery, alcoholism, prostitution, and religions are woven throughout the album.","Themen wie Heiligkeit der Ehe, Ehebruch, Alkoholismus, Prostitution und Religionen sind im Album vertreten.",诸如婚姻信仰、通奸、酗酒、卖淫和宗教等议题都在专辑中。,"Topics such as marital beliefs, adultery, alcoholism, prostitution and religion are included in the album.","Topics such as holiness of marriage, adultery, alcoholism, prostitution and religions are included in the album."
"The citizens expelled it in 1552, allying with France: this was unacceptable for Charles, who sent his general Gian Giacomo Medici to lay siege to it with a Florentine-Imperial army.","Als das Volk es ablehnte und 1552 mit Frankreich befreundet wurde, schickte Karl seinen General Gian Giacomo Medici, um es mit der Florentiner-Imperial-Armee anzugreifen.","因为1552年公民驱逐了它, 并且与法国结盟, 查尔斯派Giacomo Medici将军包围并控制它, 由佛罗伦萨的军队。","Because in 1552 the citizens expelled it, and allied with France, General Giacomo Medici of Charles surrounded and controlled it, by the armies of Florence.","When the people rejected it and became friends with France in 1552, Karl sent his General Gian Giacomo Medici to attack it with the Florentine Imperial Army."
"2002 2003 seasons Warner began the 2002 season 0 3 as a starter, throwing seven interceptions against only one touchdown.",2002 begann Warner als Starter die Saison 0 3 und warf sieben Interceptions gegen nur einen Touchdown.,"沃纳在2002年的赛季开始时 投了七个球 被俘获,只有一个触地得分",Werner pitched seven balls at the beginning of the 2002 season and was captured with only one touchdown score.,"In 2002, Warner started the season 0 3 as a starter and threw seven interceptions against only one touchdown."
Influences Regional At the end of the 12th century Europe was divided into a multitude of city states and kingdoms.,Ende des 12. Jahrhunderts wurde Europa in eine Reihe von Stadtstaaten und Königreichen aufgeteilt.,"12世纪末,欧洲被划分为许多城市和王国。","At the end of the twelfth century, Europe was divided into many cities and kingdoms.","At the end of the 12th century, Europe was divided into a number of city states and kingdoms."
"During its heyday, Chang'an was one of the largest and most populous cities in the world.",Chang'an war eine große und hochbevölkerte Stadt.,长安是一个人口稠密的大城市,"Chang An is a big, densely populated city.",Chang'an was a large and highly populated city.
"The most famous example is the lineage of Dalai Lamas; the current Dalai Lama, Tenzin Gyatso, is held to be the fourteenth mindstream emanation, the first being Gendun Drup (1391 – 1474).",Das beste Beispiel für Dalai Lamas Abstammung ist der aktuelle Dalai Lama. Tenzin Gyatso wird die vierzehnte Geistesströmung sein.,"Tenzin Gyatso, 是目前Dalai Lama 和 第十四个脑流的教义, Gendun Drup 是第一个(1391-1474)。","Tenzin Gyatso, currently the teachings of Dalai Lama and the fourteenth brain, Gendun Drup was the first (1391-1474).",The best example of Dalai Lama's descent is the current Dalai Lama. Tenzin Gyatso will be the fourteenth spiritual current.
"It is produced by Antix Productions, led by Yvette Fielding and her husband, Karl Beattie.",Es wird von Antix Productions unter der Leitung von Yvette Fielding und ihrem Mann Karl Beattie hergestellt.,Yvette Fielding和丈夫Karl Beattie的安提斯制片公司生产了它。,"Yvette Fielding and his husband, Karl Beattie, produced it.",It is produced by Antix Productions under the direction of Yvette Fielding and her husband Karl Beattie.
"As the new millennium began, Stallone starred in the thriller Get Carter — a remake of the 1971 British Michael Caine film of the same name — but the film was poorly received by both critics and audiences.","Stallone war ein britischer Schauspieler im Film Get Carter, ein britischer Film mit dem gleichen Namen aus dem Jahr 1971, aber der Film war kein Erfolg.",Get Carter在Stallone演的《Get Carter》的翻版 不像迈克尔·凯恩的原创电影那么受欢迎,Get Carter's version of Get Carter in Stallone isn't as popular as Michael Kane's original movie.,"Stallone was a British actor in the film Get Carter, a British film with the same name from 1971, but the film was not a success."
